year,category,question,answer,analysis,index,score
2010,（新课标Ⅰ）,"21. --- Have  you finished  reading  Jane  Eyre ? 
--- No, I        my homework  all day yesterday . 
A. was doing  B. would  do C. had done  D. do
",A,"【解答】 答案 A． was/were  doing，表示过去的某个时间点或时间段正在做某事
，根据句意，我没有读完简爱，我昨天一天一直在写家庭作业． 故选 A． 
【点评】
",0,1
2010,（新课标Ⅰ）,"22. The workers      the glasses  and marked  on each box “This Side UP”. 
A. carried  B. delivered  C. pressed  D. packed
",D,"【解答】 答案 D． carry""拿，携带 ""；deliver""递送，发表，给 …接生 ""；press""压""
；pack""包装 ""．根据常识和句意，先把玻璃杯 ""包装起来 ""再标上 ""此面朝上 ""．故
  选D． 
【点评】
",1,1
2010,（新课标Ⅰ）,"23. I’ll spend  half of my holiday  practicing  English  and      half learning  drawing . 
A. another  B. the other  C. other ’s D. other
",B,"【解答】 答案 B．本题主要考查代词． 选项 A another  3个及 3个以上中的另一
个；选项 B the other两个中的另一个 ；选项 C other ’s 一般没有这种说法 ；选项 D 
other其它的．根据句意，应该是两个中的另一个， 故选 B． 
【点评】
",2,1
2010,（新课标Ⅰ）,"24. As a child , Jack studied  in a village  school ,       is named  after his grandfather . 
A. which  B. where  C. what  D. that
",A,"【解答】答案： A． 题干中含有的从句是非限制性的定语从句， 所以不能用 that
，what不能引导定语从句， 故排除 C，从句中缺少主语，应该用关系代词，所
以排除 where．所以本题选 A． 
【点评】
",3,1
2010,（新课标Ⅰ）,"25. Mary  made  coffee         her guests  were  finishing  their meal . 
A. so that B. although  C. while  D. as if
",C,"【解答】 答案 C．本题考查连词． 选项 A so that 以便，为了，用来引导目的状
语从句； 选项 B although 尽管；选项 C while在…期间，当 …时候，用来引导时
间状语从句； 选项 D as if（=as though）仿佛，好像，用来引导方式状语从句．
通过句意可知 C项正确．  
【点评】
",4,1
2010,（新课标Ⅰ）,"26. I have  seldom  seen my mother       pleased  with my progress  as she is now. 
A. so B. very  C. too D. rather
",A,"【解答】 答案： A  如此满意的语义， 只有 so pleased…as  能表达出来吧， as是
像…一样， too表示 ""太…""，rather  确实满意，像现在一样对我确实满意，这样
的表达不符语境． 所以选择 A． 
【点评】
",5,1
2010,（新课标Ⅰ）,"27. Mrs. White  showed  her students  some  old maps     from  the library . 
A. to borrow     B. to be borrowed      C. borrowed      D. borrowing
",C,"【解答】答案 C． from  the library做后置定语， 修饰 old maps  根据句意， borrow
与old maps  之间是被动关系，所以用过去分词表示被动或完成， 故选 C． 
【点评】
",6,1
2010,（新课标Ⅰ）,"28. When  you are home , give a call to let me know  you        safely . 
A. are arriving  B. have  arrived  C. had arrived  D. will arrive
",B,"【解答】 答案 B．本题主要考查动词时态．根据题意可知，这里要表达 ""回家后
打电话确认已经安全到达 ""，所以应该用现在完成时 ，答案为 B项．A项和 D项
均表示将来，没有 ""完成 ""之意，所以排除 ；C项为过去完成时，不符合题意，所
以排除． 故选 B． 
【点评】
",7,1
2010,（新课标Ⅰ）,"29. Just be patient . You       expect  the world  to change  so soon . 
A. can’t B. needn ’t C. may not D. will not
",A,"【解答】 答案 A． can't ""不能，不可能 ""；needn't  ""不需要，没必要 ""；may ""一般
用于肯定句中 ，表示可能 ""；will ""意愿或习惯性动作 ""．根据句意 ，要耐心点 ，你
""不能 ""期望世界变得如此之快， 故选 A． 
【点评】
",8,1
2010,（新课标Ⅰ）,"30. The little boy won’t go to sleep      his mother  tells him a story . 
  A. or B. unless  C. but D. whether
",B,"【解答】 答案 B．本题主要考查连词， unless  引导条件状语从句，意思是除非 ，
如果不 =""if not""； A or 或，或者；还是；不然，否则；  C but但是，表转折； D 
whether  是否、不管 …（还是 …）习惯用语 whether  or not．根据句意， 应该选 B
． 
【点评】
",9,1
2010,（新课标Ⅰ）,"31. --- Everybody  is going  to climb  the mountain . Can I go too, mum ? 
---         Wait  till you are old enough , dear. 
A. will you?     B. Why  not?     C. I hope  so.       D. I’m afraid  not.
",D,"【解答】 答案 D．A项""Will用于第二人称表示征求对方的意见 ""；B项""为什么
不？ ""表示同意对方的观点； C项""我希望如此 ""；D项""我恐怕不行 ""；根据句意 ""
亲爱的，等到你年龄足够大的时候再去 ""可知，孩子的妈妈不让孩子去爬山．因
此D项符合语境， 故选 D． 
【点评】
",10,1
2010,（新课标Ⅰ）,"32. The discovery  of gold in Australia  led thousands  to believe  that a fortune        . 
A. is made      B. would  make       C. was to be made      D. had made
",C,"【解答】答案： C．本题采用排除法． 根据主句的谓语动词 led（lead﹣led）可知
这里是一般过去时 ，所以从句也应该用过去时 ，排除 A．这里 fortune表示财富 ，
make  fortune发财，make与fortune之间构成动宾关系 ，fortune在从句中作主语 ，
故用被动语态， 排除 B、D．was to be made是过去将来时的被动式， 故选 C． 
【点评】
",11,1
2010,（新课标Ⅰ）,"33. We haven ’t discussed  yet      we are going  to place  our new furniture . 
A. that B. which  C. what  D. where
",D,"【解答】答案 D． discuss后面是宾语从句 ，在宾语从句中 we are going  to place  our 
new furniture是完整的句子 ，根据句意 ，我们还没有商量好把新家具放在 ""where""
．故选 D． 
【点评】
",12,1
2010,（新课标Ⅰ）,"34. With  Father ’s Day around  the corner , I have  taken  some  money  out of the bank  
         presents  for my dad. 
A. buy     B. to buy     C. buying        D. to have  bought
",B,"【解答】答案 B．根据句意，我从银行里取钱的 ""目的是 ""为了给父亲买礼物，所
以用不定式表示目的状语， 而to have  done  表示不定式的动作发生在主句之间 ，
不符合题意， 故选 B． 
【点评】
",13,1
