year,category,question,answer,analysis,index,score
2010,（新课标）,"1. （5 分) 已知集合 $A=\{x \in R|| x \mid \leqslant 2\}\}, B=\{x \in Z \mid \sqrt{x} \leqslant 4\}$, 则 $A \cap B=(\quad$ ）
A. $(0,2)$
B. $[0,2]$
C. $\{0,2\}$
D. $\{0,1,2\}$
",D,"解: $A=\{x \in R|| x \mid \leqslant 2\}=,\{x \in R \mid-2 \leqslant x \leqslant 2\}$,

$B=\{x \in Z \mid \sqrt{x} \leqslant 4\}=\{x \in Z \mid 0 \leqslant x \leqslant 16\}$

故 $A \cap B=\{0,1,2\}$.

应选 D.
",0,5
2010,（新课标）,"2. (5 分) 已知复数 $z=\frac{\sqrt{3}+i}{(1-\sqrt{3} i)^{2}}, \bar{z}$ 是 $z$ 的共轭复数, 则 $z=dotar{z}=(\quad)$
A. $\frac{1}{4}$
B. $\frac{1}{2}$
C. 1
D. 2
",A,"解: 由 $|z|=\left|\frac{\sqrt{3}+i}{(1-\sqrt{3} i)^{2}}\right|=\frac{|\sqrt{3}+i|}{|1-\sqrt{3} i|^{2}}=\frac{2}{2^{2}}=\frac{1}{2}$ 可得 $z \cdot \bar{z}=|z|^{2}=\frac{1}{4}$.

另

解 

$$
\begin{aligned}
& z=\frac{\sqrt{3}+i}{(1-\sqrt{3} i)^{2}}=\frac{\sqrt{3}+i}{-2-2 \sqrt{3} i}=-\frac{1 \sqrt{3}+i}{21+\sqrt{3} i}=-\frac{1}{8}(\sqrt{3}+i)(1-\sqrt{3} i)=\frac{1}{4}(\sqrt{3}-i) \\
& z \cdot \bar{z}=\frac{1}{4}(\sqrt{3}-i) \cdot \frac{1}{4}(\sqrt{3}+i)=\frac{1}{4}
\end{aligned}
$$

故选: A.
",1,5
2010,（新课标）,"3. (5 分) 曲线 $y=\frac{x}{x+2}$ 在点 $(-1,-1)$ 处的切线方程为（ $）$
A. $y=2 x+1$
B. $y=2 x-1$
C. $y=-2 x-3$
D. $y=-2 x-2$
",A,"解: $\because y=\frac{x}{x+2}$,

$\therefore y^{\prime}=\frac{2}{(x+2)^{2}}$

所以 $\mathrm{k}=\left.\mathrm{y}^{\prime}\right|_{\mathrm{x}=-1}=2$, 得切线的斜率为 2 , 所以 $\mathrm{k}=2$;

所以曲线 $y=f(x)$ 在点 $(-1,-1)$ 处的切线方程为:

$y+1=2 \times(x+1)$ ，即 $y=2 x+1$.

故选: A.
",2,5
2010,（新课标）,"5. （5 分) 已知命题 $p_{1}$ : 函数 $y=2^{x}-2^{-x}$ 在 $R$ 为增函数, $p_{2}$ : 函数 $y=2^{x}+2^{-x}$ 在 $R$ 为减函数, 则在命题 $q_{1}: p_{1} \vee p_{2}, q_{2}: p_{1} \wedge p_{2}, q_{3}:\left(\neg p_{1}\right) \vee p_{2}$ 和 $q_{4}: p_{1} \wedge(\square$ $\left.p_{2}\right)$ 中，真命题是（ $)$ 
A. $q_{1}, q_{3}$
B. $q_{2}, q_{3}$
C. $q_{1}, q_{4}$
D. $q_{2}, q_{4}$
",C,"解：易知 $p_{1}$ 是真命题, 而对 $p_{2}: y^{\prime}=2^{x} \ln 2-\frac{1}{2^{x}} \ln 2=\ln 2\left(2^{x}-\frac{1}{2^{x}}\right)$, 当 $x \in[0,+\infty)$ 时, $2^{x} \geqslant \frac{1}{2^{x}}$, 又 $\ln 2>0$, 所以 $y^{\prime} \geqslant 0$, 函数单调递增;

同理得当 $x \in(-\infty, 0)$ 时, 函数单调递减, 故 $p_{2}$ 是假命题.

由此可知, $q_{1}$ 真, $q_{2}$ 假, $q_{3}$ 假, $q_{4}$ 真.

故选: C.
",3,5
2010,（新课标）,"6. （5 分) 某种种子每粒发芽的概率都为 0.9 , 现播种了 1000 粒, 对于没有发 芽的种子, 每粒需再补种 2 粒, 补种的种子数记为 $X$, 则 $X$ 的数学期望为 $(\quad)$
A. 100
B. 200
C. 300
D. 400
",B,"解：由题意可知播种了 1000 粒, 没有发芽的种子数 $\xi$ 服从二项分布, 即 $\xi \sim B(1000,0.1)$.

而每粒需再补种 2 粒, 补种的种子数记为 $X$

故 $X=2 \xi$, 则 $E X=2 E \xi=2 \times 1000 \times 0.1=200$. 故选: B.
",4,5
2010,（新课标）,"8. （5 分）设偶函数 $f(x)$ 满足 $f(x)=2^{x}-4(x \geqslant 0)$ ，则 $\{x \mid f(x-2)>0\}=($ )
A. $\{x \mid x<-2$ 或 $x>4\}$
B. $\{x \mid x<0$ 或 $x>4\}$
C. $\{x \mid x<0$ 或 $x>6\}$
D. $\{x \mid x<-2$ 或 $x>2\}$
",B,"解: 由偶函数 $f(x)$ 满足 $f(x)=2^{x}-4(x \geqslant 0)$, 可得 $f(x)=f(|x|)$ $=2^{|x|-4}$,

则 $f(x-2)=f(|x-2|)=2^{|x-2|}-4$, 要使 $f(|x-2|)>0$, 只需 $2^{|x-2|}-4>0$,

$$
|x-2|>2
$$

解得 $x>4$, 或 $x<0$.

应选: B.
",5,5
2010,（新课标）,"9. (5 分）若 $\cos \alpha=-\frac{4}{5}, \alpha$ 是第三象限的角, 则 $\frac{1+\tan \frac{\alpha}{2}}{1-\tan \frac{\alpha}{2}}=(\quad)$
A. $-\frac{1}{2}$
B. $\frac{1}{2}$
C. 2
D. -2
",A,"解: 由 $\cos \alpha=-\frac{4}{5}, \alpha$ 是第三象限的角,

$\therefore$ 可得 $\sin \alpha=-\frac{3}{5}$,

则 $\frac{1+\tan \frac{\alpha}{2}}{1-\tan \frac{\alpha}{2}}=\frac{\cos \frac{\alpha}{2}+\sin \frac{\alpha}{2}}{\cos \frac{\alpha}{2}-\sin \frac{\alpha}{2}}=\frac{1+\sin \alpha}{\cos \alpha}=\frac{1-\frac{3}{5}}{-\frac{4}{5}}=-\frac{1}{2}$,

应选 $A$.
",6,5
2010,（新课标）,"10. (5 分) 设三棱柱的侧棱垂直于底面, 所有棱长都为 $a$, 顶点都在一个球面 上, 则该球的表面积为（）
A. $\pi a^{2}$
B. $\frac{7}{3} \pi a^{2}$
C. $\frac{11}{3} \pi a^{2}$
D. $5 \pi a^{2}$
",B,"解：根据题意条件可知三棱柱是棱长都为 $\mathrm{a}$ 的正三棱柱, 上下底面中心 连 线的中点就是球心, 则其外接球的半径为 $R=\sqrt{\left(\frac{a}{2}\right)^{2}+\left(\frac{a}{2 \sin 60^{\circ}}\right)^{2}}=\sqrt{\frac{7}{12} a^{2}}$, 球的表面积为 $S=4 \pi \cdot \frac{7 a^{2}}{12}=\frac{7}{3} \pi a^{2}$,

故选: B.
",7,5
2010,（新课标）,"12. (5 分) 已知双曲线 $E$ 的中心为原点, $P(3,0)$ 是 $E$ 的焦点, 过 $P$ 的直线 I 与 $E$ 相交于 $A, B$ 两点, 且 $A B$ 的中点为 $N(-12,-15)$, 则 $E$ 的方程式为（ )
A. $\frac{x^{2}}{3}-\frac{y^{2}}{6}=1$
B. $\frac{x^{2}}{4}-\frac{y^{2}}{5}=1$
C. $\frac{x^{2}}{6}-\frac{y^{2}}{3}=1$
D. $\frac{x^{2}}{5}-\frac{y^{2}}{4}=1$
",B,"解: 由已知条件易得直线 $\mathrm{l}$ 的斜率为 $\mathrm{k}=\mathrm{k}_{\mathrm{PN}}=1$,

设双曲线方程为 $\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1$,

$A\left(x_{1}, y_{1}\right), B\left(x_{2}, y_{2}\right)$,

则有 $\left\{\begin{array}{l}\frac{x_{1}^{2}}{a^{2}}-\frac{y_{1}^{2}}{b^{2}}=1 \\ \frac{x_{2}^{2}}{a^{2}} \frac{y_{2}^{2}}{b^{2}}=1\end{array}\right.$

两式相减并结合 $x_{1}+x_{2}=-24, y_{1}+y_{2}=-30$ 得

$\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=\frac{4 b^{2}}{5 a^{2}}$

从而 $\mathrm{k}=\frac{4 \mathrm{~b}^{2}}{5 \mathrm{a}^{2}}=1$

即 $4 b^{2}=5 a^{2}$,

又 $a^{2}+b^{2}=9$,

解得 $a^{2}=4, b^{2}=5$,

故选: B.
",8,5
2011,（新课标）,"1. (5 分) 复数 $\frac{2+i}{1-2 i}$ 的共轭复数是 $(\quad)$
A. $-\frac{3}{5} i$
B. $\frac{3}{5} i$
C. $-\mathrm{i}$
D. i
",C,"解：复数 $\frac{2+i}{1-2 i}=\frac{(2+i)(1+2 i)}{(1-2 i)(1+2 i)}=\frac{5 i}{5}=i$, 它的共轭复数为: $-i$.

故选: C.
",9,5
