year,category,question,answer,analysis,index,score
2010,（新课标）,"1．（ 3分）按照中国一东盟自由贸易协议， 成员国 90%的贸易商品实行零关税 。
如果以前一件 10人民币元的 M商品出口到某东盟成员国 N国的关税为 5%，
本外币间的汇率为 l：8.2010年该商品实行零关税， 中国生产 M商品的劳动
生产率提高 25%，其他条件不变 ，则一件 M商品在实行零关税之前和之后出
口到 N国的价格用 N国货币单位表示分别为（ 　　） 
A．80，84 B．84，80 C．84.64  D．84，100
",C,"C正确，实行零关税前， 因为汇率为 1：8，关税为 5%，所以 M商品用
N国货币表示价格为（ 10×8）×（1+5%）=84．实行零关税后，因为劳动生
产率（社会劳动生产率 ）提高 25%，且零关税 ，所以价格为 （10/1.25）×8=64
．故答案为 C； 
ABD均不正确，故排除。  
故选： C。
",0,4
2010,（新课标）,"2．（ 3分）在河北曹妃甸的矿石码头，铁矿石运输轮一靠岸，运输带就直接将
铁矿石运往新首钢加工车间。经过若干道工序后，铁矿石变成钢材，又从成
品码头重新装船销往世界各地。这种紧凑的 “前港后厂 ”生产经营模式，缩短
了流通时间，给新首钢带来了巨大的效益。这一效益的取得在于（ 　　） 
①流通环节能够产生更大的利润  
②“前港后厂 ”模式节省运输成本  
③流通时间的缩短加快了资金的周转  
④“前港后厂 ”模式提高了社会劳动生产率。  
A．①②  B．②③  C．②④  D．③④
",B,"解析： “前港后厂 ”生产经营模式，减少了从码头到工厂的时间、路程 ，
节约了运输成本、缩短了流通时间，故②③符合题意；①题干为反映；劳动
生产率的提高依赖于科技的发展与管理；④不合题意。 故答案选择 B
",1,4
2010,（新课标）,"3．（ 3分）在政府大力扶持下，我国新能源产业发展迅猛。 截至 2009年底，中
国风电装机容量累计达到 2129万千瓦，位居世界第三 。从经济角度看 ，政府
扶持新能源产业是因为（ 　　） 
①经济快速发展对能源需求巨大     ②开发新能源有利于可持续发展  
③中国能源供给结构单一           ④可开发利用的新能源种类众多。  
A．①②  B．②③  C．①④  D．②④
",A,"材料要求从经济角度看政府扶持新能源产业的原因 ，可以从必要性和意
义两方面考虑。  
①从消费对生产的反作用角度谈政府扶持新能源产业的必要性，应选；  
②从政府扶持新能源产业的意义角度谈，表述正确，应选；  
  ③涉及能源的供给结构，与题意不相符，因此不选；  
④涉及到新能源的种类，与题意不符，因此不选；  
故选： A。
",2,4
2010,（新课标）,"4．（ 3分）我国南水北调工程是世界上规模最大的调水工程，它将建成 “南北调
配、东西互济 ”的巨大水网。 截至 2009年4月，国家对东、中线一期工程累
计投资 538. 7亿元。这一工程将（ 　　） 
①带动新兴产业发展，提高社会劳动生产率  
②通过加大政府投资，促进区域经济发展  
③改善南北水运条件，降低产品运输成本  
  ④改善水资源分布，促进经济结构调整。  
A．①②  B．①③  C．②④  D．③④
",C,"①不符合题意，南水北调工程不会直接带动新兴产业发展，故排除① ； 
②符合题意， 工程累计投资 538. 7亿元，政府的巨额投资，可以调节资源配置 ，
促进区域经济发展，②入选；  
③不符合题意，该工程的目的不是为了改善水运条件，故排除③；  
④符合题意 ，我国南水北调工程直接会带来改善水资源分布 ，从而促进经济结构
调整，④入选。  
故选： C。
",3,4
2010,（新课标）,"5．（ 3分）根据联合国安理会有关决议， 自2008年l2月20日起，中国政府已
五次派军舰到海盗活动猖獗的亚丁湾和索马里海域参加对过往商船的护航。
我国参加护航行动（ 　　） 
①是我国作为联合国安理会常任理事国应尽的职责  
②是巩固我国同联合国其他成员国战略联盟的需要  
③是我国作为负责任国家承担国际义务的具体体现  
④与我国国家利益和外交政策的基本原则相符合。  
A．①②  B．①③  C．②④  D．③④
",D,"①不合题意 ，我国作为联合国安理会常任理事国应尽的职责有维护世界
和平，派驻维和部队，调解国际争端，提供联合国预算资金。我国参加护航
  活动不属于我国应尽的职责；  
②不合题意，我国不与任何国家结成战略联盟不选；  
③符合题意，我国积极参加联合国及其专门机构有利于世界和平和发展的活动 ； 
④符合题意 ，维护国家利益时主权国家对外活动的出发点和落脚点 ，国家利益是
国际关系的决定因素。  
故选： D。
",4,4
2010,（新课标）,"6．（ 3分）《中共中央关于深化行政管理体制改革的意见》提出，要加强依法
行政和制度建设，健全对行政权力的监督制度。在国家机关中，对行政权力
具有内部监督功能的是（ 　　） 
①人民代表大会及其常委会        
②各级人民法院和人民检察院  
③国家监察部和地方监察机关      
④国家审计署和地方审计机关。  
A．①②  B．①③  C．②④  D．③④
",D,"题中要求是 ：在国家机关中 ，对行政权力具有内部监督功能 ，因此选项③
④符合题意；  
选项①②均为对行政权利的外部监督，因而不选；  
故选： D。
",5,4
2010,（新课标）,"7．（ 3分） 2010年，十一届全国人大三次会议通过的新修改的选举法规定，全
国人大代表名额按照每一代表所代表的人口数相同的原则分配，将农村与城
市每一代表所代表的人口数比例， 由原来的 4：1改为 l：1．这一修改的意义
在于（　　） 
①从制度层面消除城乡选举差别  
②在立法和制定重大决策层面更好地维护农民的利益  
③拓宽农民参与国家政治生活的渠道  
④保证人大代表平等地行使权利。  
A．①②  B．①③  C．②④  D．③④
",A,"A制度层面国家保障了公民的选举平等，因此符合题，正确；  
B这次人口数比例的一直更好的保障了农民的权利 ，修改选举法实在立法方面维
护，正确；  
C题目中没有提到农民参与政治生活的渠道，排除；  
D题目中没有与人大代表相关的意思，排除；  
故选： A。
",6,4
2010,（新课标）,"8．（ 3分）近年来，我国开展道德模范评选活动，树立来自基层、来自群众的
道德楷模 ，推动了社会主义思想道德建设 。我国重视思想道德建设是因为它 （　　
  ） 
①是发展中国特色社会主义文化的重要内容和中心环节  
②能提供精神动力和正确价值观，决定社会发展进程和方向  
③体现了先进文化性质和前进方向，有利于培育 “四有 ”新人  
④为我国经济社会发展提供了智力支持。  
A．①②  B．①③  C．②④  D．③④
",B,"思想道德建设是发展中国特色社会主义文化的重要内容和中心环节 。社
会主义思想道德集中体现了中国特色社会主义文化的性质和前进方向，发展
中国特色社会主义文化，必须紧紧抓住思想道德建设这个中心环节。由此可
见，①③两项符合题意，可以入选；  
思想道德建设属于主观范畴，不能起决定作用，故②项表述错误，不能入选；  
社会主义精神文明建设为我国经济社会发展提供强大的精神动力和智力支持 ，故
④项表述不科学，不能入选。  
故选： B。
",7,4
2010,（新课标）,"9．（ 3分） “今天科学技术不仅仅是自然科学与工程技术，还是认识客观世界 、
改造客观世界的整个知识体系 ，而这个体系的最高概括是马克思主义哲学。 ”
钱学森关于哲学与科学关系的论断的合理性在于（ 　　） 
①认为哲学是 “科学之科学 ”，是最高概括的科学  
②主张科学是哲学的知识前提，哲学是科学的概括和升华  
③强调离开了哲学世界观的指导，科学研究就不能取得进展  
④指出哲学与科学具有一致性，哲学对科学具有方法论的指导作用。  
A．①②  B．②③  C．②④  D．③④
",C,"①错误，哲学是 “科学之科学 ”说法错误；  
②④符合题意， “今天科学技术不仅仅是自然科学与工程技术，还是认识客观世
界、改造客观世界的整个知识体系，而这个体系的最高概括是马克思主义哲
学。 ”钱学森关于哲学与科学关系的论断的合理性在于主张科学是哲学的知
识前提，哲学是科学的概括和升华，出哲学与科学具有一致性，哲学对科学
具有方法论的指导作用；  
③错误，离开了哲学世界观的指导 ，科学研究就不能取得进展夸大了哲学的作用
； 
故选： C。
",8,4
2010,（新课标）,"10．（ 3分）木星是太阳系中体积最大的行星，人们对它充满无限遐想。为了解
木星的形成 、进化和结构等 ，在最新航天科技的支持下 ，美国预计于 2011年
8月发射新的木星探测器 “朱诺 ”。对木星的科学探测活动将进一步佐证 （　　） 
①人类的好奇、兴趣和遐想是推进有关木星认识的直接动力  
②现代科技和探测手段的发展推动有关木星认识的深化发展  
③实践发展提出的客观需要是推进有关木星认识的根本动力  
④严密的逻辑和精心的准备能确保木星探测实践的如期成功。  
A．①②  B．②③  C．②④  D．③④
",B,"①观点错误 ，实践是认识的动力 ，最新航天科技的支持下 ，美国预计于
  2011年8月发射新的木星探测器 “朱诺 ”，说明现代科技和探测手段的发展推
动有关木星认识的深化发展，实践发展提出的客观需要是推进有关木星认识
的根本动力，故②③符合题意，④观点说能确保木星探测实践的如期成功是
错误的， 故答案应选 B。
",9,4
