year,category,question,answer,analysis,index,score
2010,（新课标）,"1．（ 4分）西周分封制在中国历史上影响深远。下列省、自治区中，其简称源
自西周封国国名的是（ 　　） 
A．河南、河北  B．湖南、湖北  C．山东、山西  D．广东、广西
",C,"西周分封的诸侯国主要有鲁齐燕卫宋晋 。A项河南的简称是豫 ，河北的
简称是冀； B项湖南的简称是湘，湖北的简称是鄂； D项广东的简称是粤，
广西的简称是桂。其简称都不是源自西周封国国名， 故排除 ABD三项。  
C项山东的简称是鲁 ，山西的简称是晋 ，其简称都是源自西周封国国名 。故C项
正确。  
故选： C。
",0,4
2010,（新课标）,"2．（ 4分）柳宗元在（封建论 》中评价秦始皇废封建、行郡县说： “其为制，公
之大者也 …公天下之端自秦始。 ”郡县制为 “公天下 ”之开端，主要体现在（ 　　
） 
A．百姓不再是封君的属民  B．更有利于皇帝集权   
C．制度法令的统一  D．依据才干政绩任免官吏
",D,"材料中的 “封建 ”实指西周 “分封制 ”。分封制下，诸侯到卿、士，其权力
、地位和财产一切世袭，一般平民被排除在政治权利之外。  
秦始皇推行郡县制 ，郡守、县令有皇帝任免 ，不得世袭 ，官吏任免的标准是才干
政绩，故地方政治权利向一般平民开放，此即材料中所谓 “公天下 ”。材料主
要意思为唐朝的柳宗元肯定郡县制 “公天下 ”，郡县制官吏由皇帝任免，比分
封制下分封贵族爵位更利于国家政局的安定。 故D项符合；A项与史实不符 ，
B、C项与题意不符， 故排除 ABC项。  
故选： D。
",1,4
2010,（新课标）,"3．（ 4分）王安石提出 “形者，有生之本 ”，与之相对立的观点是（ 　　） 
A．“心外无物 ” B．“天地为万物之本 ”  
C．“夫形于天地之间者，物也 ” D．“舍天地则无以为道 ”
",A,"王安石认为 ，人的生理和心理方面的活动和人的形体联系在一起 ，突出
了“形”的存在； B、C、D三项均突出了 “天地 ”或“万物 ”这一 “形”的存在。 A
项是宋明 “心学 ”的观点，“心学 ”认为天地万物都在心中 ，这明显与王安石的思
想相对立。  
故选： A。
",2,4
2010,（新课标）,"4．（ 4分）如表明代洪武至弘治年间（ 1368～1505）徽州祁门土地买卖契约情
况表  
时间  使用通货类别及契约张数  
洪武年间至永乐年间  宝钞 23、银1、布1 
宣德年间至景泰年间  宝钞 4、银27、布42、稻谷 4 
天顺年间至弘治年间  银52、稻谷 1 
表中反映了（ 　　） 
A．宝钞在民间的信用降低  B．社会经济大幅度衰退   
C．生活资料均可作为支付手段  D．白银始终是主要流通货币
",A,"从表格信息看 ，宝钞使用数量逐步减少并最终消失 ，说明其信誉越来越
低，并最终被白银所取代， 故A项的说法正确；  
材料信息不能说明社会经济的大幅度衰退， B项错误；  
从表格看，作为支付手段职能的生活资料主要是布和稻谷， C项错误；  
从表格看 ，白银的使用量越来越大 ，但白银不是从开始就是主要货币 ，D项错误
； 
故选： A。
",3,4
2010,（新课标）,"5．（ 4分）亚里士多德在《政治学》中认为，世上有两种形式的平等，即数量
平等和比值平等。数量平等是绝对平均主义；比值平等则根据个人的实际价
值，按比例分配与之相称的事物 。根据上述观点 ，通常所说的 “分数面前人人
平等 ”应该是（ 　　） 
A．更接近于数量平等  B．更接近于比值平等   
C．数量平等高于比值平等  D．既非数量平等又非比值平等
",B,"“数量相等 ”的意义是你所得与他人所得的相同事物在数目和容量上相
等；“比值相等 ”的意义是根据各人的真实价值，按比例分配与之相称的事物 。
而“分数面前人人平等 ”是指依据个人不同的能力水平给出相应的分数，所以
这是一种更接近于比值平等的做法， 故B项正确。  
故选： B。
",4,4
2010,（新课标）,"7．（4分）19世纪中期 ，许多与西学相关的 “日本新词 ”来自中国 。而在 20世纪
初年，大量与西学相关的 “日本新词 ”，如劳动、方针、政策、理论等迅速传
入中国。出现这一变化的决定性因素是（ 　　） 
A．中国留学日本人数增多  B．中国在甲午战争中战败   
C．日本明治维新成效显著  D．日本先于中国接触西学
",C,"题干从 19世纪中 ﹣﹣ 20世纪初 “日本新词 ”的变化，反映了 “日本新词 ”
由来自中国到影响中国，说明这时期起决定作用的是日本自身的发展并为亚
洲邻国提供启迪和经验， 故C项正确。  
甲午之役是近代中国由学习英德转向学习日本的转折点 ，这个可从甲午前后中国
留学生的流向可以看出 。且20世纪初大量 “日本新词 ”传入中国 ，主要也是这
些留日学生的功劳， 但AB两项不是决定性因素，应排除。  
D项“先于 ”说法错误，应排除。  
故选： C。
",5,4
2010,（新课标）,"8．（4分）1902～1906年，京师大学堂师范馆共有学生 512人，其中举人 62人
、贡生 48人、生员 232人、监生 84人。这表明此时（ 　　） 
A．传统教育制度稳定发展  B．新式学堂教育得到普及   
C．学生以求取功名为目的  D．教育制度处于转型时期
",D,"本题主要考查学生准确解读材料信息的能力 ，材料中京师大学堂是维新
变法时期创建的近代新式学堂，教学内容包含有近代自然科学知识，但学生
成员中却有大量科举士子，这说明近代中国教育的产生中任然保留了大量传
统教育因素，这体现出中国近代教育制度在制度转型中的突出特征，故答案
选D．A B C三项，材料无法直接表现。  
故选： D。
",6,4
2010,（新课标）,"9．（ 4分）某博物馆收藏的一份传单写道： “彼得格勒城市及郊区的所有工人 、
水兵、赤卫队和铁路组织的会议 ……决定，派我们中间的优秀分子加入 ‘为饥
饿的彼得格勒到农村征粮，的队伍。 ”这一传单出现的历史背景应是（ 　　） 
A．政府的战争政策造成粮荒  B．新生的苏维埃政权面临困境   
C．农业集体化运动出现失误  D．德国法西斯大举入侵苏联
",B,"依据材料中的信息 “为饥饿的彼得格勒到农村征粮 ”可知，此时正处于三
年国内革命战争（ 1918 ﹣1921）时期，国内外敌人对苏维埃政权发动了进攻 ，
为了保障战争的胜利，苏俄实行了余粮收集制。 A项应该发生在三年国内战
争结束后由于战时共产主义的继续推行所带来的后果； C项是斯大林执政时
期的措施； D项发生在二战时期。  
故选： B。
",7,4
2010,（新课标）,"10．（ 4分）在遭到中国军队打击之后，侵华日军某部在一份报告中称： “其上
级干部多为经验丰富干练之士，其统率才能十分高超，尤其对分散于广阔地
区之多数小部队巧妙的指挥运用，必须瞩目。 ”上述评论所指的战役应是（ 　　
） 
A．太原会战  B．平型关战役  C．百团大战  D．武汉战役
",C,"太原会战、武汉会战以中国军队的失败而结束，不符合题干中 “遭到中
国军队打击 ”这一要求， 排除 A、D两项。  
平型关战役 、百团大战都是中国军队主动出击并且都对日军造成打击 ，但从战争
的规模、战果来看，百团大战要远远超过平型关战役，故百团大战更符合材
料要求， 故C项符合题意。  
故选： C。
",8,4
2010,（新课标）,"11．（ 4分） 1950年签订的《中苏友好同盟互助条约》规定： “一旦缔约国任何
一方受到日本或与日本同盟的国家之侵袭因而处于战争状态时，缔约另一方
即尽其全力给予军事及其他援助。 l989年中苏关系正常化后，两国未再签订
类似条约。这主要是因为（ 　　） 
A．双方的战争威胁消失  B．苏联的政治经济改革   
C．世界多极化趋势加强  D．中国奉行不结盟政策
",D,"本题考查新中国外交方针的变化。《中苏友好同盟互助条约 》体现了建
国初期 “一边倒 ”的外交方针；改革开放后，针对国际形势的变化，中国坚定
不移地实行不结盟的外交方针，即不与任何大国或大国集团结盟，遵循和平
共处五项原则和一切国家发展友好合作关系 。D项符合题意 。AB项材料不能
体现，故错误。C项发生于 1991年苏联解体后 ，世界多极化趋势加强 ，故错
误。  
故选： D。
",9,4
2010,（新课标）,"12．（ 4分）中日双方对 l894年7月25日发生的丰岛海战记述各异。中方《济
远航海日志 》记载：“7点45分，倭三舰同放真弹子，轰击我船，我船即刻还
炮•”日方出版的《二十七八年海战史》称： “7点52分，彼我相距约 3 000米
之距离。济远首先向我发炮 。旗舰吉野立即迎战 ，以左舷炮向济远轰击。 ”这
说明（　　） 
A．研究者的立场会影响其对历史的解释   
B．历史真相因年代久远而变得模糊不清   
C．通过文献记录最终能够还原历史真相   
D．原始记录比研究文献更接近历史真相
",A,"中日双方之所以对丰岛海战的记述各异 ，是由研究者的立场决定的 。故
本题应选 A项； B项中 “模糊不清 ”的表述过于绝对，故排除；日方的记录很
明显与史实不符， 故C、D两项的表述错误。  
故选： A。
",10,4
2011,（新课标）,"1．（ 2分）董仲舒认为孔子撰《春秋 》的目的是尊天子、抑诸侯、崇周制而 “大
一统 ”，以此为汉武帝加强中央集权服务 ，从而将周代历史与汉代政治联系起
来。西周时代对于秦汉统一的重要历史影响在于（ 　　） 
A．构建了中央有效控制地方的制度   
B．确立了君主大权独揽的集权意识   
C．形成了天下一家的文化心理认同   
D．实现了国家对土地与人口的控制
",C,"A项错在有效控制，因为分封制下受封者享有较强独立性；  
B项君主大权独揽的集权意识是在百家争鸣时期法家思想的体现；  
分封制确立周王天下共主地位 ，宗法制实行嫡长子继承制 ，把血缘关系与政治关
系相结合，从而把国与家结合起来，形成天下一家的文化心理认同，对后世
影响深远。 故选 C项；  
土地与人口控制在受封者而非国家手中， D项错误。  
故选： C。
",11,4
2011,（新课标）,"3．（ 2分）黄宗羲在《明夷待访录 》中说： “使朝廷之上，闾阎之细，渐摩濡染
，莫不有诗书宽大之气，天子之所是未必是，天子之所非未必非，天子亦遂
不敢自为非是 ，而公其非是于学校。 ”与这一论述的精神实质最为接近的是 （　　
） 
A．天下兴亡，匹夫有责  B．民为邦本   
C．天下为公  D．民贵君轻
",C,"从题中可知黄宗羲的思想是反对君主专制 ，主张以 “天下之法 ”取代皇帝
的“一家之法，限制君权，从教材可知， A项属于顾炎武的思想， 排除 A； 
本题材料没有强调君民关系（统治者和被统治者的地位 ），故排除 B、D两项； 
材料主要强调学校教育 （或人民大众 ）有判断是非的权利 ，体现了 “天下之法 ”取
代皇帝的 “一家之法、 “天下为公 ”的思想， 因此选 C。 
故选： C。
",12,4
2011,（新课标）,"4．（ 2分）苏格拉底在受审时申辩说： “打一个可笑的比喻，我就像一只牛虻 ，
整天到处叮住你们不放，唤醒你们、说明你们、指责你们 ……我要让你们知
  道，要是杀死像我这样的人，那么对你们自己造成的损害将会超过对我的残
害。 ”这段话表明苏格拉底（ 　　） 
A．维护公民生存权利  B．捍卫思想自由原则   
C．抗议雅典司法不公  D．反对贵族专权暴政
",B,"抓住材料关键信息 “唤醒你们 、说服你们 、指责你们 ”体现了狂放不羁的
自由思想 ，“对你们自己造成的损害 ”指对当时民主政治的破坏 ，“对我的残害
”显然指生存权利的破坏 。苏格拉底的本意是强调思想自由而不是公民生存权
利， A项排除； C项与题干材料本意不符；苏格拉底反对极端民主政治， D
项不符合史实。  
故选： B。
",13,4
2011,（新课标）,"6．（ 2分）洪秀全尊奉 “皇上帝 ”，自命为上帝之子下凡救世，认为其他一切偶
像皆为妖魔。太平天国运动初期，太平军所到之处毁学宫、拆孔庙、查禁孔
孟“妖书 ”；而在后期洪秀全则要求 “学尧舜之孝弟忠信，遵孔孟之仁义道德 ”。
太平天国运动由反孔到尊孔主要是因为（ 　　） 
A．拜上帝教不足以支撑其政权   
B．太平天国定都天京后战局出现逆转   
C．反孔受到传统士绅的抵制   
D．太平天国未能得到西方势力的支持
",A,"解题关键是要掌握太平天国运动的思想核心。洪秀全受西方宗教影响 ，
创立拜上帝教 ，宣传 “皇上帝 ”是唯一的 “真神 ”；人们都是上帝的 “赤子 ”，在上
帝面前人人平等。太平天国运动由初期的反孔到尊孔，是因为反孔、推行拜
上帝教的思想遭到人们的反对，影响其政权，因此不得不调整。  
故选： A。
",14,4
2011,（新课标）,"7．（ 2分）甲午战争后的 “公车上书 ”与巴黎和会时的五四运动都是爱国救亡运
动，但两者的规模与影响差别甚大，其主要原因在于（ 　　） 
A．民族觉醒程度与群众基础不同   
B．外交失利导致的损害程度不同   
C．大众传媒发展水平与方式不同   
D．列强攫取中国利权的手段不同
",A,"本题主要是对 “公车上书 ”和五四运动的规模和影响比较， “公车上书 ”是
甲午中日战争失败，民族危机加深，少数进京的举人联合起来向清朝上书，
反对和谈。其规模较小，参与者也仅仅局限于上京应考的知识分子，影响有
限；而五四运动则对巴黎和会的外交失败，民族危机进一步加深和新文化运
动的思想冲击之下，各阶层广泛参与的爱国运动，影响全国。通过比较可看
出，二者差别的主要因素是民族觉醒与群众基础的不同。 BCD三项虽然也是
影响因素，但并非主要因素， 故A项最符合题意， BCD排除。  
故选： A。
",15,4
2011,（新课标）,"8．（ 2分） 1900年6月21日，清政府颁布 “向各国宣战懿旨 ”。6月26日，两
江总督刘坤一、湖广总督张之洞等与列强驻上海领事商定《东南保护约款 》，
规定 “上海租界归各国共同保护 ，长江及苏 、杭内地均归各督抚保护 ，两不相
扰，以保中外商民人民产业为主 ”。这表明（ 　　） 
A．列强在华势力受到有效遏制  B．清政府中央集权面临危机   
  C．地方实力派成为列强代理人  D．地方势力与朝廷分庭抗礼
",B,"东南互保指中国清朝末年八国联军侵华期间 ，中国南方各省违背中央政
府的命令，拒不同外国开战的事件。此事件使地方的政治与军事权力进一步
扩张，中央的权威大为下降，也使清政府威信扫地，说明清政府中央集权面
临危机， 故选 B； 
A项与材料不符，互保是相互妥协；  
C项地方实力派旨在维护地方利益，进而维护国家利益，并非列强走狗；  
D项夸大了当时地方实力派的实力。  
故选： B。
",16,4
2011,（新课标）,"10．（2分）1962年，中共中央发布文件规定 ，农村人民公社一般以生产队为基
本核算单位， 至少 30年不变。这项政策在当时（ 　　） 
A．促进了农业经济的恢复  B．改变了农村所有制成分   
C．消除了 “左”的错误影响  D．增加了城市的粮食供应
",A,"针对大跃进和人民公社化运动带来的严重问题， 1960年中共中央提出
了“调整、巩固、充实、提高 ”的八字方针，而调整的重点在农业，由此看出
确保生产基本单位的稳定 ，有利于推动农业生产的发展 ，恢复经济 。BC项表
述与史实不符， D在材料信息中不能体现。  
故选： A。
",17,4
2011,（新课标）,"11．（ 2分） 1985年，国务院在《关于国有企业工资改革问题的通知》中规定 ，
企业工资总额同经济效益浮动的比率 ，一般是上缴税利总额增长 1%，工资总
额增长 0.3%～0.7%，最多不得超过 1%．这一规定的主要目的是（ 　　） 
A．保证职工收入逐年提高  B．拉开职工收入的档次   
C．鼓励企业提高经济效益  D．有效控制企业工资总额
",C,"解答本题时，要抓住题干材料中的关键信息 “1985年《关于国有企业工
资改革问题的通知 》企业工资总额同经济效益浮动的比率 ”进行思考。根据教
材相关知识可知，城市经济体制改革的核心是增强企业的活力，而国有企业
工资改革的目的是鼓励企业提高经济效益，进而增强企业活力。  
故选： C。
",18,4
2011,（新课标）,"12．（ 2分）哥白尼、牛顿和爱因斯坦被称为近代以来最伟大的科学家，其理论
的共同之处是（ 　　） 
A．得到了科学实验的验证   
B．改变了人类对自然世界的认识   
C．推动了技术的重大突破   
  D．科学地概括出物质运动的定律
",B,"日心说是一个学说 ，在证明地球是围绕太阳转的同时也有错误 ，如太阳
并非宇宙中心，而是太阳系的中心等等，因为这些错误，所以日心说只能算
是学说，但是也引起了人类对宇宙的认识的巨大变革和思想变革，是对于宇
宙认识的巨大转折点， A项不正确 ；“日心说 ”未推动技术的重大突破， C项不
适合哥白尼；哥白尼的 “日心说 ”有缺限，不能算科学地概括出物质的规律，
排除 D项； B项强调这三人的天文学和物理学贡献对人类认知的推动作用，
他们的成就从不同角度改变和影响了人类对世界的认识。  
故选： B。
",19,4
2012,（新课标）,"1．（ 2分）汉武帝设置十三州刺史以监察地方，并将豪强大族 “田宅逾制 ”作为
重要的监察内容， 各地财产达 300万钱的豪族被迁到长安附近集中居住。这
表明（　　） 
A．政权的政治与经济支柱是豪强大族   
B．政治权力与经济势力出现严重分离   
C．抑制豪强是缓解土地兼并的重要措施   
D．经济手段是巩固专制集权的主要方式
",C,"将豪强大族 “田宅逾制 ”作为重要的监察内容。 “被迁到长安附近集中居
住”的原因是 “各地财产达 300万钱 ”、“田宅逾制 ”，说明汉武帝的做法是要抑
制豪强，其目的是缓解土地兼并， 故C项正确。  
“经济支柱 ”说法错误， 故A项排除。  
B项材料无从反映，应排除。  
题干的是政治手段，不是经济手段， 故D项错误。  
故选： C。
",20,4
2012,（新课标）,"2．（ 2分）许仙与白娘子自由相恋因法海和尚作梗终成悲剧，菩萨化身的济公
游戏人间维持正义。这些在宋代杭州流传的故事，反映出当时（ 　　） 
A．对僧人爱憎交加的社会心态  B．民间思想借助戏剧广泛传播   
C．中国文化的地域性浓厚  D．市民阶层的价值取向
",D,"僧人在故事中只是一个意象 ，两个故事表达的是市民争取自由 、伸张正
义的愿望，无关乎对僧人的爱憎交加， 故A项不正确；  
B项未能反映出要表达的本质意图 ；C项这两个故事都在杭州流行，没有其他地
域作对比，不能反映出地域性， 故C项不正确。  
文学艺术是一定社会政治经济发展的反映 。宋代经济重心南移完成 ，杭州一带商
品经济繁荣，市民阶层队伍扩大，向往自由，追求正义正是市民阶层文化生
活的价值取向 ，材料所含的 “自由 ”“正义 ”诉求，这正是宋代城市商品经济繁荣
的前景下市民文化生活中反映的价值取向。  
故选： D。
",21,4
2012,（新课标）,"3．（ 2分）明后期松江人何良俊记述： “（正德）以前，百姓十一在官，十九在
田……今去农而改业为工商者三倍于前矣。昔日原无游手之人，今去农而游
手趁食（谋生 ）者又十之二三也。大抵以十分百姓言之，已六七分去农。 “据
此可知（ 　　） 
A．工商业的发展造成农业的衰退   
B．工商业的发展导致了社会结构的变动   
C．财富分配不均引起贫富分化加剧   
D．无业游民增加促成了工商业的发展
",B,"题干关键信息 ：“去农而改业为工商者三倍于前矣 、今去农而游手趁食 （
谋生）者又十之二三也、已六七分去农 ”。说明明代农业从业人口减少，农民
中有许多人改为从事工商业生产和发展，明代社会人员的结构成分也因此发
展很大变化，反映工商业的发展导致了社会结构的变动。 故B项正确。  
材料反映的是从事农业的人大量减少，并没有反映农业的衰退， 故A项错误。  
C项与题意信息无关，应排除。  
D项说法本身错误，应排除。  
故选： B。
",22,4
